hour,actual,baseline_prediction,improved_prediction,baseline_residual,improved_residual
2017-11-12 19:00:00,209,229.94201123235143,180.10666666666665,-20.942011232351433,28.893333333333345
2017-11-12 20:00:00,153,286.07124997751,137.85333333333332,-133.07124997750998,15.146666666666675
2017-11-12 21:00:00,146,302.80951889019866,130.00333333333333,-156.80951889019866,15.99666666666667
2017-11-12 22:00:00,116,295.90761030048543,153.67333333333335,-179.90761030048543,-37.673333333333346
2017-11-12 23:00:00,41,374.32485768778474,81.77666666666667,-333.32485768778474,-40.77666666666667
2017-11-13 00:00:00,10,-98.89126437928553,27.776666666666667,108.89126437928553,-17.776666666666667
2017-11-13 01:00:00,11,-120.27584101287101,13.006666666666666,131.275841012871,-2.006666666666666
2017-11-13 02:00:00,6,-103.99425033335496,10.49,109.99425033335496,-4.49
2017-11-13 03:00:00,0,-60.62863267341078,5.753333333333333,60.62863267341078,-5.753333333333333
2017-11-13 04:00:00,9,-25.675016176937675,11.053333333333333,34.675016176937675,-2.053333333333333
2017-11-13 05:00:00,65,18.677225868853384,83.73333333333333,46.322774131146616,-18.733333333333334
2017-11-13 06:00:00,260,36.235457450977435,215.91,223.76454254902256,44.09
2017-11-13 07:00:00,691,41.93490779782019,483.88666666666666,649.0650922021798,207.11333333333334
2017-11-13 08:00:00,987,75.57204660843388,731.1,911.4279533915661,255.89999999999998
2017-11-13 09:00:00,495,124.38796114379511,379.38,370.6120388562049,115.62
2017-11-13 10:00:00,280,197.20768107567267,185.02,82.79231892432733,94.97999999999999
2017-11-13 11:00:00,323,208.5527921457874,248.21666666666667,114.44720785421259,74.78333333333333
2017-11-13 12:00:00,400,297.36252352944143,383.37333333333333,102.63747647055857,16.626666666666665
2017-11-13 13:00:00,410,333.6644145693691,409.73333333333335,76.33558543063089,0.2666666666666515
2017-11-13 14:00:00,386,378.0166566151603,412.9266666666667,7.9833433848397135,-26.926666666666677
2017-11-13 15:00:00,476,378.8821940682169,385.19666666666666,97.1178059317831,90.80333333333334
2017-11-13 16:00:00,717,383.3992016069419,595.2566666666667,333.6007983930581,121.74333333333334
2017-11-13 17:00:00,1186,399.4259986132779,947.8733333333333,786.5740013867221,238.12666666666667
2017-11-13 18:00:00,921,349.0708393504507,853.01,571.9291606495493,67.99000000000001
2017-11-13 19:00:00,574,352.37334142781276,497.19666666666666,221.62665857218724,76.80333333333334
2017-11-13 20:00:00,358,342.84335523769084,220.07333333333332,15.156644762309156,137.92666666666668
2017-11-13 21:00:00,274,319.6469272430504,184.35333333333332,-45.64692724305041,89.64666666666668
2017-11-13 22:00:00,166,351.114905389192,139.19666666666666,-185.11490538919202,26.80333333333334
2017-11-13 23:00:00,55,279.5087723381379,87.15333333333334,-224.50877233813787,-32.153333333333336
2017-11-14 00:00:00,26,-164.43119266115372,52.13333333333333,190.43119266115372,-26.133333333333333
2017-11-14 01:00:00,12,-112.07723020590086,12.62,124.07723020590086,-0.6199999999999992
2017-11-14 02:00:00,8,-50.15507116778093,8.353333333333333,58.15507116778093,-0.3533333333333335
2017-11-14 03:00:00,9,-32.55798130713572,3.66,41.55798130713572,5.34
2017-11-14 04:00:00,19,-28.080737048120568,8.353333333333333,47.08073704812057,10.646666666666667
2017-11-14 05:00:00,82,23.01795513638109,95.23,58.98204486361891,-13.230000000000004
2017-11-14 06:00:00,335,40.891213545667995,255.86666666666667,294.108786454332,79.13333333333333
2017-11-14 07:00:00,771,102.40534351612519,600.6366666666667,668.5946564838748,170.36333333333334
2017-11-14 08:00:00,1290,135.0235951450993,1089.1666666666667,1154.9764048549007,200.83333333333326
2017-11-14 09:00:00,589,171.00101611036985,493.49,417.99898388963015,95.50999999999999
2017-11-14 10:00:00,271,220.03189445896453,261.43333333333334,50.96810554103547,9.566666666666663
2017-11-14 11:00:00,324,255.06681496297472,280.03333333333336,68.93318503702528,43.96666666666664
2017-11-14 12:00:00,371,382.35120677048087,326.28333333333336,-11.351206770480871,44.71666666666664
2017-11-14 13:00:00,344,308.3574836430506,330.38666666666666,35.642516356949386,13.613333333333344
2017-11-14 14:00:00,346,393.2133609806142,310.58,-47.2133609806142,35.420000000000016
2017-11-14 15:00:00,431,369.83700409737423,388.96666666666664,61.16299590262577,42.03333333333336
2017-11-14 16:00:00,728,412.7043832193183,582.6766666666666,315.2956167806817,145.32333333333338
2017-11-14 17:00:00,1152,416.0641840138478,994.95,735.9358159861522,157.04999999999995
2017-11-14 18:00:00,927,422.59078191188985,844.2266666666667,504.40921808811015,82.77333333333331
2017-11-14 19:00:00,524,454.05876005803145,494.78,69.94123994196855,29.220000000000027
2017-11-14 20:00:00,376,405.88528785724645,282.4266666666667,-29.885287857246453,93.57333333333332
2017-11-14 21:00:00,255,352.16478549579926,211.04,-97.16478549579926,43.96000000000001
2017-11-14 22:00:00,203,374.05700312162037,142.60333333333332,-171.05700312162037,60.396666666666675
2017-11-14 23:00:00,101,403.2821616442409,73.16333333333333,-302.2821616442409,27.836666666666673
2017-11-15 00:00:00,35,-110.77867959850977,28.716666666666665,145.77867959850977,6.283333333333335
2017-11-15 01:00:00,14,-105.07922925166707,12.696666666666667,119.07922925166707,1.3033333333333328
2017-11-15 02:00:00,10,-114.6600609088207,8.713333333333333,124.6600609088207,1.286666666666667
2017-11-15 03:00:00,4,-96.95407151843611,5.44,100.95407151843611,-1.4400000000000004
2017-11-15 04:00:00,16,-92.73304096666857,8.93,108.73304096666857,7.07
2017-11-15 05:00:00,99,-76.46825602076143,68.67666666666666,175.46825602076143,30.323333333333338
2017-11-15 06:00:00,324,-82.17800102707463,257.34,406.17800102707463,66.66000000000003
